File Name,D:\我的库\desktop\81.txt
Start Date,29 五月 2016
Start Time,10:14:06

Sample #,X_GYRO (16 bit),Y_GYRO (16 bit),Z_GYRO (16  bit),X_ACCL (16  bit),Y_ACCL (16  bit),Z_ACCL (16  bit),X_MAGN (16 bit),Y_MAGN (16 bit),Z_MAGN (16 bit),ROLL _C23_OUT,PITCH_C31_OUT,YAW_C32_OUT
44,-0.1200,-0.0200,-0.2600,-0.0072,-0.0144,0.9928,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9478
45,-0.2000,-0.0200,-0.2000,-0.0064,-0.0144,0.9936,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9478
46,-0.1200,0.0800,-0.4600,-0.0072,-0.0144,0.9928,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9478
47,-0.1400,-0.1000,-0.3400,-0.0064,-0.0136,0.9952,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9478
48,-0.1000,0.1200,-0.2200,-0.0072,-0.0128,0.9944,-28.8000,-255.0000,-204.4000,-0.8075,0.4010,154.9478
49,-0.1400,-0.1600,-0.2600,-0.0072,-0.0120,0.9920,-29.1000,-255.0000,-204.8000,-0.8075,0.4010,154.9478
50,0.0200,-0.1000,-0.2000,-0.0104,-0.0120,0.9944,-29.1000,-255.0000,-204.8000,-0.8075,0.4010,154.9478
51,0.0600,0.0000,-0.1400,-0.0088,-0.0144,0.9944,-29.1000,-255.0000,-204.8000,-0.8075,0.4010,154.9478
52,-0.0200,0.1200,-0.0400,-0.0080,-0.0136,0.9952,-29.1000,-255.0000,-204.8000,-0.8075,0.4010,154.9478
53,-0.0600,0.1000,-0.2200,-0.0096,-0.0144,0.9936,-29.1000,-255.0000,-204.8000,-0.8075,0.4010,154.9478
54,0.0000,-0.0200,-0.0800,-0.0056,-0.0144,0.9960,-29.1000,-255.0000,-204.8000,-0.8075,0.4010,154.9478
55,-0.0200,0.0000,-0.0200,-0.0064,-0.0160,0.9984,-29.1000,-255.0000,-204.8000,-0.8075,0.4010,154.9478
56,0.1000,0.0800,0.0000,-0.0064,-0.0144,0.9992,-29.1000,-255.0000,-204.8000,-0.8075,0.4010,154.9478
57,-0.2200,-0.1000,-0.2000,-0.0056,-0.0144,1.0016,-29.1000,-255.0000,-204.8000,-0.8075,0.4010,154.9478
58,-0.0600,-0.2400,-0.2000,-0.0080,-0.0152,0.9992,-29.1000,-255.0000,-204.8000,-0.8075,0.4010,154.9478
59,0.1600,-0.0600,-0.2200,-0.0088,-0.0128,1.0000,-29.1000,-255.0000,-204.8000,-0.8075,0.4010,154.9478
60,0.1000,-0.0200,-0.1200,-0.0048,-0.0144,1.0008,-29.4000,-254.9000,-204.6000,-0.8075,0.4010,154.9478
61,0.0200,-0.1000,0.0400,-0.0064,-0.0144,0.9992,-29.6000,-254.8000,-204.4000,-0.8075,0.4010,154.9533
62,0.0000,0.1600,-0.0400,-0.0056,-0.0136,0.9992,-29.6000,-254.8000,-204.4000,-0.8075,0.4010,154.9533
63,0.1600,0.2600,-0.3200,-0.0072,-0.0144,0.9992,-29.6000,-254.8000,-204.4000,-0.8075,0.4010,154.9533
64,0.2400,0.1200,-0.2000,-0.0064,-0.0144,0.9984,-29.6000,-254.8000,-204.4000,-0.8075,0.4010,154.9533
65,0.0000,0.1000,-0.1800,-0.0064,-0.0152,0.9960,-29.6000,-254.8000,-204.4000,-0.8075,0.4010,154.9533
66,0.1000,0.1000,0.0000,-0.0056,-0.0136,0.9952,-29.6000,-254.8000,-204.4000,-0.8075,0.4010,154.9533
