File Name,D:\我的库\desktop\81.txt
Start Date,29 五月 2016
Start Time,10:14:06

Sample #,X_GYRO (16 bit),Y_GYRO (16 bit),Z_GYRO (16  bit),X_ACCL (16  bit),Y_ACCL (16  bit),Z_ACCL (16  bit),X_MAGN (16 bit),Y_MAGN (16 bit),Z_MAGN (16 bit),ROLL _C23_OUT,PITCH_C31_OUT,YAW_C32_OUT
9472,0.2000,-7.5600,-1.2000,-0.0064,0.0408,1.0200,227.0000,-156.0000,-194.3000,0.0934,0.9174,79.2015
9473,0.4000,-7.3000,-0.9000,-0.0048,0.0344,1.0080,227.2000,-155.5000,-194.4000,0.0934,0.9119,79.1960
9474,0.3600,-6.6600,-0.8200,-0.0072,0.0272,1.0064,227.2000,-155.5000,-194.3000,0.0934,0.9064,79.1960
9475,0.1600,-6.5200,-1.0800,-0.0072,0.0240,1.0128,227.2000,-155.5000,-194.3000,0.0934,0.9009,79.1960
9476,0.1600,-6.1000,-0.9800,-0.0064,0.0200,1.0152,227.2000,-155.5000,-194.3000,0.0934,0.8954,79.1960
9477,0.1400,-5.8200,-0.9400,-0.0072,0.0160,1.0128,227.2000,-155.5000,-194.3000,0.0934,0.8954,79.1960
9478,0.1600,-5.7800,-1.0000,-0.0056,0.0104,1.0056,227.2000,-155.5000,-194.3000,0.0934,0.8899,79.1960
9479,0.2400,-5.3600,-1.2200,-0.0072,0.0040,1.0088,227.2000,-155.5000,-194.3000,0.0934,0.8844,79.1960
9480,0.2000,-5.2800,-1.5000,-0.0088,0.0024,1.0104,227.2000,-155.5000,-194.4000,0.0934,0.8789,79.1905
9481,0.2000,-4.9600,-1.5600,-0.0112,-0.0016,1.0096,227.2000,-155.5000,-194.3000,0.0934,0.8734,79.1905
9482,0.3600,-4.9000,-1.6800,-0.0112,-0.0024,1.0048,227.2000,-155.5000,-194.3000,0.0934,0.8734,79.1905
9483,0.2000,-4.6200,-1.8200,-0.0104,-0.0048,1.0040,227.2000,-155.5000,-194.3000,0.0934,0.8679,79.1905
9484,0.4200,-4.4400,-1.9400,-0.0104,-0.0072,1.0056,227.0000,-156.4000,-194.8000,0.0989,0.8624,79.1851
9485,0.3200,-4.1800,-1.8800,-0.0128,-0.0072,1.0032,227.0000,-156.4000,-194.8000,0.0989,0.8624,79.1851
9486,0.2200,-4.0600,-2.3800,-0.0120,-0.0096,1.0000,227.0000,-156.4000,-194.8000,0.0989,0.8569,79.1851
9487,0.2200,-3.9200,-2.5200,-0.0120,-0.0096,0.9992,227.0000,-156.4000,-194.8000,0.0989,0.8569,79.1796
9488,0.3000,-4.1200,-2.4600,-0.0096,-0.0120,1.0008,227.0000,-156.4000,-194.8000,0.0989,0.8515,79.1796
9489,0.4200,-4.1000,-2.4200,-0.0112,-0.0136,0.9992,227.0000,-156.4000,-194.8000,0.0989,0.8460,79.1796
9490,0.2000,-4.0200,-2.4800,-0.0120,-0.0160,0.9984,227.0000,-156.4000,-194.8000,0.0989,0.8460,79.1741
9491,0.2600,-3.9200,-2.7200,-0.0112,-0.0160,0.9976,227.0000,-156.4000,-194.8000,0.0989,0.8405,79.1741
9492,0.0800,-3.6800,-2.9600,-0.0104,-0.0208,0.9984,227.0000,-156.4000,-194.8000,0.0989,0.8405,79.1741
9493,0.1800,-3.6600,-3.3000,-0.0128,-0.0176,0.9968,227.0000,-156.4000,-194.8000,0.0989,0.8350,79.1686
9494,0.4600,-3.5400,-3.2600,-0.0136,-0.0104,0.9984,227.0000,-156.4000,-194.8000,0.0989,0.8350,79.1686
9495,0.3200,-3.6400,-3.1200,-0.0144,0.0008,0.9984,227.0000,-156.4000,-194.8000,0.0989,0.8295,79.1631
9496,0.2000,-3.7400,-2.7400,-0.0152,0.0112,0.9968,226.5000,-157.0000,-194.7000,0.0989,0.8295,79.1631
9497,0.1800,-3.5400,-3.1000,-0.0144,0.0128,0.9952,226.5000,-157.0000,-194.7000,0.0989,0.8240,79.1576
9498,0.1400,-3.5200,-2.8800,-0.0096,0.0096,0.9960,226.5000,-157.0000,-194.7000,0.0989,0.8185,79.1576
9499,0.2600,-3.4600,-3.0200,-0.0064,0.0040,0.9992,226.5000,-157.0000,-194.7000,0.0989,0.8185,79.1521
9500,0.1600,-3.3800,-2.6600,-0.0064,0.0016,0.9968,226.5000,-157.0000,-194.7000,0.0989,0.8130,79.1521
9501,0.2400,-3.5800,-2.8200,-0.0056,-0.0024,0.9968,226.5000,-157.0000,-194.7000,0.0989,0.8130,79.1521
9502,0.0600,-3.4000,-2.6400,-0.0064,-0.0056,0.9968,226.5000,-157.0000,-194.7000,0.0989,0.8075,79.1466
9503,0.0600,-3.2000,-2.7600,-0.0072,-0.0096,0.9976,226.5000,-157.0000,-194.7000,0.0989,0.8075,79.1466
9504,0.1400,-3.4400,-2.6200,-0.0104,-0.0088,1.0000,226.5000,-157.0000,-194.7000,0.0989,0.8020,79.1411
9505,0.1000,-3.3600,-2.6800,-0.0112,-0.0024,1.0008,226.5000,-157.0000,-194.7000,0.0989,0.8020,79.1411
9506,0.1000,-3.2800,-2.5800,-0.0072,0.0048,1.0000,226.5000,-157.0000,-194.7000,0.0989,0.7965,79.1411
9507,0.1600,-3.2400,-2.3000,-0.0096,0.0032,1.0008,226.7000,-156.7000,-194.8000,0.0989,0.7965,79.1356
9508,0.1600,-3.2000,-2.3000,-0.0064,0.0024,1.0016,226.8000,-156.5000,-195.0000,0.0989,0.7910,79.1356
9509,0.2000,-3.3000,-2.1400,-0.0056,0.0056,1.0024,226.8000,-156.4000,-195.0000,0.0989,0.7910,79.1356
9510,0.2600,-3.0800,-2.4000,-0.0056,0.0040,0.9992,226.8000,-156.4000,-195.0000,0.0989,0.7910,79.1301
9511,0.1000,-2.9400,-2.1000,-0.0056,0.0080,0.9984,226.8000,-156.4000,-195.0000,0.0989,0.7855,79.1301
9512,0.1200,-2.7000,-1.9200,-0.0048,0.0152,0.9984,226.8000,-156.4000,-195.0000,0.0989,0.7855,79.1301
9513,0.0200,-2.5400,-1.7400,-0.0048,0.0184,1.0000,226.8000,-156.4000,-195.0000,0.0989,0.7800,79.1301
9514,-0.0200,-2.4400,-1.7000,-0.0032,0.0176,0.9984,226.8000,-156.5000,-195.0000,0.0989,0.7800,79.1246
9515,-0.0200,-2.4200,-1.6000,-0.0032,0.0168,0.9992,226.8000,-156.5000,-195.0000,0.0989,0.7800,79.1246
9516,0.1000,-2.6000,-0.8800,-0.0032,0.0176,0.9992,226.8000,-156.5000,-195.0000,0.0989,0.7745,79.1246
9517,0.3200,-2.5600,-0.7600,-0.0032,0.0216,1.0000,226.8000,-156.4000,-195.0000,0.0989,0.7745,79.1246
9518,0.2200,-2.4200,-0.7600,-0.0040,0.0232,0.9992,226.8000,-156.4000,-195.0000,0.0989,0.7691,79.1246
9519,0.2400,-2.4000,-0.7000,-0.0040,0.0248,0.9984,226.6000,-156.9000,-195.2000,0.0989,0.7691,79.1246
9520,-0.0600,-2.1000,-0.4400,-0.0024,0.0200,0.9992,226.3000,-157.3000,-195.4000,0.0989,0.7691,79.1246
9521,-0.0400,-2.1800,-0.3400,-0.0040,0.0184,0.9976,226.3000,-157.3000,-195.4000,0.0989,0.7636,79.1191
9522,-0.0400,-2.2600,-0.3200,-0.0040,0.0168,0.9960,226.3000,-157.3000,-195.4000,0.0989,0.7636,79.1191
9523,-0.0600,-2.1000,0.0600,-0.0048,0.0120,0.9952,226.3000,-157.3000,-195.4000,0.0989,0.7636,79.1191
9524,0.1000,-2.1200,0.1400,-0.0056,0.0088,0.9976,226.3000,-157.3000,-195.4000,0.0989,0.7581,79.1191
9525,-0.0800,-2.0800,0.1400,-0.0056,0.0064,0.9976,226.3000,-157.3000,-195.4000,0.0989,0.7581,79.1191
9526,0.1600,-2.0400,0.1200,-0.0072,0.0048,0.9976,226.3000,-157.3000,-195.4000,0.0989,0.7581,79.1191
9527,0.2400,-2.1000,0.3200,-0.0064,0.0016,0.9960,226.3000,-157.3000,-195.4000,0.0989,0.7526,79.1246
9528,0.1000,-1.8400,0.3200,-0.0072,-0.0008,0.9968,226.3000,-157.3000,-195.4000,0.0989,0.7526,79.1246
9529,0.0800,-2.0600,0.1400,-0.0064,-0.0008,0.9976,226.3000,-157.3000,-195.4000,0.0989,0.7526,79.1246
9530,0.2400,-1.9200,0.2800,-0.0080,0.0008,0.9944,226.3000,-157.3000,-195.4000,0.0989,0.7526,79.1246
9531,0.1000,-1.8200,0.2600,-0.0048,0.0008,0.9928,226.7000,-156.9000,-194.9000,0.0989,0.7471,79.1246
9532,0.0600,-1.8000,0.5000,-0.0072,0.0016,0.9952,226.7000,-156.9000,-194.9000,0.0989,0.7471,79.1246
9533,-0.0600,-1.8200,0.6000,-0.0072,0.0008,0.9960,226.7000,-156.9000,-194.9000,0.0989,0.7471,79.1246
9534,0.1600,-1.5200,0.8400,-0.0080,0.0008,0.9968,226.7000,-156.9000,-194.9000,0.0989,0.7471,79.1246
9535,0.0200,-1.5800,0.8200,-0.0080,0.0000,0.9960,226.7000,-156.9000,-194.9000,0.0989,0.7416,79.1246
9536,0.2400,-1.8200,0.8200,-0.0088,-0.0016,0.9960,226.7000,-156.9000,-194.9000,0.1044,0.7416,79.1246
9537,0.2600,-1.9200,0.8200,-0.0096,0.0000,0.9960,226.7000,-156.9000,-194.9000,0.1044,0.7416,79.1246
9538,0.2600,-1.7400,0.8400,-0.0080,0.0000,0.9952,226.7000,-156.9000,-194.9000,0.1044,0.7416,79.1301
9539,0.0200,-1.9000,1.1800,-0.0072,0.0008,0.9952,226.7000,-156.9000,-194.9000,0.1044,0.7361,79.1301
9540,0.1400,-1.7000,1.0400,-0.0096,-0.0008,0.9928,226.7000,-156.9000,-194.9000,0.1044,0.7361,79.1301
9541,-0.1000,-1.7200,1.0200,-0.0104,0.0008,0.9928,226.7000,-156.9000,-194.9000,0.1044,0.7361,79.1301
9542,-0.1000,-1.7400,1.0400,-0.0088,0.0024,0.9920,226.7000,-156.9000,-194.9000,0.1044,0.7306,79.1301
9543,-0.1600,-1.9600,0.9400,-0.0080,0.0016,0.9920,226.4000,-156.8000,-195.7000,0.1044,0.7306,79.1301
9544,-0.1600,-1.9600,0.8600,-0.0112,0.0032,0.9920,226.4000,-156.8000,-195.7000,0.1044,0.7306,79.1301
9545,-0.0200,-2.1000,0.8800,-0.0104,0.0032,0.9912,226.4000,-156.8000,-195.7000,0.1044,0.7306,79.1356
9546,0.0600,-1.9600,0.9800,-0.0104,0.0032,0.9928,226.4000,-156.8000,-195.7000,0.1044,0.7251,79.1356
9547,0.0600,-2.0000,1.0000,-0.0104,0.0048,0.9896,226.4000,-156.8000,-195.7000,0.1044,0.7251,79.1356
9548,0.2000,-2.1400,0.9400,-0.0112,0.0056,0.9896,226.4000,-156.8000,-195.7000,0.1044,0.7251,79.1356
9549,0.1200,-2.3600,1.0400,-0.0112,0.0064,0.9920,226.4000,-156.8000,-195.7000,0.1044,0.7196,79.1356
9550,0.2000,-2.4200,1.1600,-0.0112,0.0072,0.9936,226.4000,-156.8000,-195.7000,0.1044,0.7196,79.1356
9551,0.3600,-2.5000,0.9000,-0.0096,0.0056,0.9928,226.4000,-156.8000,-195.7000,0.1044,0.7196,79.1356
9552,0.1800,-2.3600,1.0400,-0.0120,0.0048,0.9904,226.4000,-156.8000,-195.7000,0.1044,0.7141,79.1411
9553,0.0400,-2.4200,1.0800,-0.0096,0.0024,0.9936,226.4000,-156.8000,-195.7000,0.1044,0.7141,79.1411
9554,0.0200,-2.5800,0.8400,-0.0096,0.0032,0.9920,226.3000,-156.8000,-195.5000,0.1044,0.7141,79.1411
9555,-0.1200,-2.4600,0.9400,-0.0096,0.0048,0.9912,226.3000,-156.8000,-195.3000,0.1044,0.7086,79.1411
9556,0.0800,-2.4400,0.7200,-0.0112,0.0064,0.9904,226.3000,-156.8000,-195.3000,0.1044,0.7086,79.1411
9557,0.0600,-2.6000,0.7600,-0.0112,0.0080,0.9912,226.3000,-156.8000,-195.3000,0.1044,0.7031,79.1411
9558,0.1200,-2.7200,0.8200,-0.0120,0.0088,0.9944,226.3000,-156.8000,-195.3000,0.1044,0.7031,79.1411
9559,0.0200,-2.8000,0.8200,-0.0104,0.0088,0.9928,226.3000,-156.8000,-195.3000,0.1044,0.7031,79.1466
9560,0.1000,-2.9400,0.5600,-0.0080,0.0088,0.9912,226.3000,-156.8000,-195.3000,0.1044,0.6976,79.1466
9561,0.1200,-3.1400,0.7200,-0.0080,0.0096,0.9920,226.3000,-156.8000,-195.3000,0.1044,0.6976,79.1466
9562,-0.0200,-3.3400,0.6400,-0.0096,0.0080,0.9896,226.3000,-156.8000,-195.3000,0.1044,0.6921,79.1466
9563,0.3200,-3.0600,0.7600,-0.0112,0.0064,0.9928,226.3000,-156.8000,-195.3000,0.1044,0.6921,79.1466
9564,0.0800,-3.2200,0.5600,-0.0096,0.0080,0.9912,226.3000,-156.8000,-195.3000,0.1044,0.6867,79.1466
9565,-0.0600,-3.1400,0.4400,-0.0088,0.0104,0.9936,226.3000,-156.8000,-195.3000,0.1044,0.6867,79.1466
9566,0.0000,-3.3400,0.5800,-0.0088,0.0096,0.9936,226.2000,-155.9000,-195.4000,0.1044,0.6812,79.1466
9567,0.0600,-3.4800,0.3600,-0.0088,0.0096,0.9936,226.0000,-155.0000,-195.5000,0.1044,0.6812,79.1466
9568,-0.1200,-3.6200,0.3200,-0.0112,0.0088,0.9928,226.0000,-155.0000,-195.5000,0.1044,0.6757,79.1466
9569,0.1400,-3.6200,0.5000,-0.0112,0.0088,0.9912,226.0000,-155.0000,-195.5000,0.1044,0.6757,79.1466
9570,-0.1000,-3.7400,0.3600,-0.0080,0.0096,0.9904,226.0000,-155.0000,-195.5000,0.1044,0.6702,79.1466
9571,-0.0200,-3.8000,0.2800,-0.0096,0.0088,0.9880,226.0000,-155.0000,-195.5000,0.1044,0.6702,79.1466
9572,0.1400,-4.0200,-0.0200,-0.0096,0.0080,0.9896,226.0000,-155.0000,-195.5000,0.1044,0.6647,79.1466
9573,0.2000,-3.9800,0.0800,-0.0096,0.0080,0.9904,226.0000,-155.0000,-195.5000,0.1044,0.6592,79.1466
9574,0.2000,-3.9800,0.1200,-0.0112,0.0088,0.9888,226.0000,-155.0000,-195.5000,0.1044,0.6592,79.1466
9575,0.0400,-4.2000,-0.0400,-0.0112,0.0088,0.9904,226.0000,-155.0000,-195.5000,0.1044,0.6537,79.1466
9576,-0.1200,-4.3000,-0.1200,-0.0096,0.0072,0.9904,226.0000,-155.0000,-195.5000,0.1044,0.6537,79.1466
9577,-0.1000,-4.5400,-0.1800,-0.0112,0.0088,0.9912,226.0000,-155.0000,-195.5000,0.1044,0.6482,79.1466
9578,-0.1000,-4.6400,0.1000,-0.0088,0.0080,0.9904,226.3000,-156.8000,-196.2000,0.1044,0.6427,79.1466
9579,0.0800,-4.7200,-0.0800,-0.0080,0.0064,0.9896,226.3000,-156.8000,-196.2000,0.1044,0.6427,79.1466
9580,0.1000,-4.9600,-0.2400,-0.0096,0.0048,0.9896,226.3000,-156.8000,-196.2000,0.1044,0.6372,79.1466
9581,0.1200,-5.0400,-0.0600,-0.0104,0.0032,0.9896,226.3000,-156.8000,-196.2000,0.1044,0.6317,79.1466
9582,0.1600,-4.9400,-0.2200,-0.0088,0.0032,0.9888,226.3000,-156.8000,-196.2000,0.1044,0.6262,79.1466
9583,0.0800,-5.4800,-0.1800,-0.0104,0.0032,0.9880,226.3000,-156.8000,-196.2000,0.1044,0.6262,79.1466
9584,0.0800,-5.3000,-0.5000,-0.0096,0.0032,0.9888,226.3000,-156.8000,-196.2000,0.1044,0.6207,79.1466
9585,0.0400,-5.4400,-0.4600,-0.0104,0.0024,0.9880,226.3000,-156.8000,-196.2000,0.1044,0.6152,79.1466
9586,0.2000,-5.4800,-0.5400,-0.0112,0.0024,0.9888,226.3000,-156.8000,-196.2000,0.1044,0.6097,79.1466
9587,0.1600,-5.5400,-0.7600,-0.0080,0.0016,0.9880,226.3000,-156.8000,-196.2000,0.1044,0.6043,79.1466
9588,0.0800,-5.7200,-0.5200,-0.0064,-0.0016,0.9896,226.3000,-156.8000,-196.2000,0.1044,0.6043,79.1466
9589,0.1200,-5.8400,-0.4400,-0.0072,-0.0016,0.9912,226.3000,-156.8000,-196.2000,0.1044,0.5988,79.1466
9590,0.0000,-6.0800,-0.7000,-0.0048,-0.0024,0.9904,226.3000,-157.1000,-195.5000,0.1044,0.5933,79.1466
9591,0.1200,-6.2400,-0.6000,-0.0072,-0.0032,0.9904,226.3000,-157.1000,-195.5000,0.1044,0.5878,79.1466
9592,0.1600,-6.3400,-0.7400,-0.0088,-0.0032,0.9912,226.3000,-157.1000,-195.5000,0.1044,0.5823,79.1466
9593,0.2000,-6.5200,-0.8000,-0.0056,-0.0056,0.9896,226.3000,-157.1000,-195.5000,0.1044,0.5768,79.1411
9594,0.1200,-6.5000,-0.8200,-0.0032,-0.0048,0.9872,226.3000,-157.1000,-195.5000,0.1044,0.5713,79.1411
9595,-0.0800,-6.5000,-0.8800,-0.0032,-0.0064,0.9880,226.3000,-157.1000,-195.5000,0.1044,0.5658,79.1411
9596,-0.0800,-6.8600,-0.9400,-0.0040,-0.0064,0.9888,226.3000,-157.1000,-195.5000,0.1044,0.5603,79.1411
9597,0.2000,-6.8000,-1.1800,-0.0040,-0.0080,0.9904,226.3000,-157.1000,-195.5000,0.1044,0.5548,79.1411
9598,0.3600,-6.9800,-1.0400,-0.0032,-0.0096,0.9896,226.3000,-157.1000,-195.5000,0.1044,0.5493,79.1411
9599,0.2600,-7.0600,-1.1200,-0.0040,-0.0088,0.9880,226.3000,-157.1000,-195.5000,0.1044,0.5438,79.1411
9600,0.1600,-7.2200,-1.5200,-0.0032,-0.0120,0.9888,226.3000,-157.1000,-195.5000,0.1044,0.5383,79.1356
9601,0.0400,-7.2000,-1.7600,-0.0024,-0.0144,0.9912,225.9000,-157.3000,-195.8000,0.1044,0.5328,79.1356
9602,0.1000,-7.4000,-1.7400,0.0000,-0.0160,0.9896,225.5000,-157.4000,-196.2000,0.1044,0.5274,79.1356
9603,0.2400,-7.1400,-1.7200,-0.0016,-0.0176,0.9896,225.5000,-157.4000,-196.2000,0.1044,0.5219,79.1356
9604,0.2800,-7.3600,-2.2000,-0.0032,-0.0120,0.9904,225.5000,-157.4000,-196.2000,0.1044,0.5164,79.1301
9605,0.2200,-7.3600,-2.2400,-0.0024,-0.0096,0.9880,225.5000,-157.4000,-196.2000,0.1044,0.5054,79.1301
9606,0.1800,-7.6000,-2.4200,-0.0016,-0.0040,0.9896,225.5000,-157.4000,-196.2000,0.1044,0.4999,79.1301
9607,0.0400,-7.7200,-2.5400,-0.0024,0.0024,0.9896,225.5000,-157.4000,-196.2000,0.1044,0.4944,79.1246
9608,0.3200,-7.7400,-2.6600,-0.0056,0.0088,0.9888,225.5000,-157.4000,-196.2000,0.1099,0.4889,79.1246
9609,0.1800,-7.8800,-2.8400,-0.0072,0.0088,0.9880,225.5000,-157.4000,-196.2000,0.1099,0.4834,79.1191
9610,0.3800,-8.0200,-2.9800,-0.0080,0.0088,0.9872,225.5000,-157.4000,-196.2000,0.1099,0.4779,79.1191
9611,0.0800,-8.3800,-3.0400,-0.0072,0.0088,0.9888,225.5000,-157.4000,-196.2000,0.1099,0.4669,79.1136
9612,0.1600,-7.9400,-3.4400,-0.0080,0.0072,0.9888,225.5000,-157.4000,-196.2000,0.1099,0.4614,79.1136
9613,0.2000,-8.0200,-3.3800,-0.0040,0.0000,0.9896,225.7000,-157.0000,-195.9000,0.1099,0.4559,79.1081
9614,0.1200,-8.0400,-3.6000,-0.0056,-0.0064,0.9880,226.0000,-156.6000,-195.7000,0.1099,0.4504,79.1081
9615,0.3800,-8.3200,-3.7000,-0.0056,-0.0144,0.9904,226.0000,-156.6000,-195.7000,0.1099,0.4450,79.1027
9616,0.3000,-8.4400,-4.2800,-0.0056,-0.0200,0.9936,226.0000,-156.6000,-195.7000,0.1099,0.4340,79.1027
9617,0.3000,-8.4400,-4.6200,-0.0056,-0.0264,0.9920,226.0000,-156.6000,-195.7000,0.1099,0.4285,79.0972
9618,0.4000,-8.4600,-4.6000,-0.0040,-0.0216,0.9920,226.0000,-156.6000,-195.7000,0.1099,0.4230,79.0917
9619,0.3200,-8.5400,-5.0000,-0.0056,-0.0136,0.9904,226.0000,-156.6000,-195.7000,0.1099,0.4175,79.0917
9620,0.3400,-8.3800,-5.4800,-0.0072,-0.0064,0.9936,226.0000,-156.6000,-195.7000,0.1099,0.4065,79.0862
9621,0.2800,-8.3400,-5.7000,-0.0096,-0.0032,0.9936,226.0000,-156.6000,-195.7000,0.1099,0.4010,79.0807
9622,0.4400,-8.6200,-6.0400,-0.0088,-0.0072,0.9928,226.0000,-156.6000,-195.7000,0.1099,0.3955,79.0752
9623,0.3400,-8.7800,-6.1800,-0.0080,-0.0112,0.9920,226.0000,-156.6000,-195.7000,0.1099,0.3900,79.0697
9624,0.2400,-8.9400,-6.2200,-0.0112,-0.0032,0.9944,226.0000,-156.6000,-195.7000,0.1099,0.3790,79.0642
9625,0.5000,-8.8800,-6.4000,-0.0104,0.0056,0.9944,224.7000,-156.4000,-196.9000,0.1099,0.3735,79.0587
9626,0.5400,-8.7800,-6.6800,-0.0112,0.0024,0.9904,224.7000,-156.4000,-196.9000,0.1099,0.3680,79.0532
9627,0.5000,-8.9000,-7.1000,-0.0120,-0.0016,0.9888,224.7000,-156.4000,-196.9000,0.1099,0.3571,79.0477
9628,0.3200,-9.0600,-6.9800,-0.0160,-0.0040,0.9936,224.7000,-156.4000,-196.9000,0.1099,0.3516,79.0422
9629,0.5400,-9.0000,-7.2600,-0.0208,0.0016,1.0000,224.7000,-156.4000,-196.9000,0.1099,0.3461,79.0367
9630,0.7600,-8.8000,-7.4200,-0.0200,0.0008,0.9960,224.7000,-156.4000,-196.9000,0.1154,0.3406,79.0312
9631,0.6400,-8.7800,-7.4400,-0.0152,-0.0032,0.9904,224.7000,-156.4000,-196.9000,0.1154,0.3296,79.0258
9632,0.3000,-8.7600,-7.4600,-0.0136,-0.0064,0.9912,224.7000,-156.4000,-196.9000,0.1154,0.3241,79.0203
9633,0.3000,-8.9400,-7.8400,-0.0168,-0.0144,0.9944,224.7000,-156.4000,-196.9000,0.1154,0.3186,79.0148
9634,0.3600,-9.0000,-8.0600,-0.0160,-0.0248,0.9944,224.7000,-156.4000,-196.9000,0.1154,0.3076,79.0093
9635,0.5600,-8.9800,-7.9800,-0.0248,-0.0232,0.9936,224.7000,-156.4000,-196.9000,0.1154,0.3021,78.9983
9636,1.2000,-9.3800,-8.2400,-0.0512,-0.0328,0.9928,224.7000,-156.4000,-196.9000,0.1154,0.2966,78.9928
9637,2.0000,-10.0400,-8.2800,-0.0488,-0.0200,0.9696,225.1000,-154.7000,-197.1000,0.1154,0.2856,78.9873
9638,1.2600,-10.1800,-8.3800,-0.0360,0.0000,0.9504,225.1000,-154.7000,-197.1000,0.1154,0.2802,78.9818
9639,-0.0800,-10.1200,-8.2200,-0.0416,0.0200,0.9520,225.1000,-154.7000,-197.1000,0.1154,0.2692,78.9763
9640,-0.3200,-10.4600,-8.1400,-0.0352,0.0224,0.9784,225.1000,-154.7000,-197.1000,0.1154,0.2637,78.9653
9641,0.3600,-11.5200,-7.7000,-0.0224,0.0696,0.8408,225.1000,-154.7000,-197.1000,0.1154,0.2527,78.9598
9642,-7.7000,-0.6800,-6.1800,0.2032,0.1456,1.6056,225.1000,-154.7000,-197.1000,0.1099,0.2527,78.9543
9643,1.0200,3.7600,-4.6200,0.1408,-0.0280,1.8784,225.1000,-154.7000,-197.1000,0.1099,0.2582,78.9543
9644,7.6200,3.7800,-4.4200,-0.0072,0.0024,0.7480,225.1000,-154.7000,-197.1000,0.1209,0.2582,78.9488
9645,6.1600,1.2800,-4.0400,-0.0048,-0.0128,0.4944,225.1000,-154.7000,-197.1000,0.1263,0.2637,78.9434
9646,-1.2800,-1.1800,-6.0600,0.1040,0.0160,0.6784,225.1000,-154.7000,-197.1000,0.1209,0.2582,78.9379
9647,-8.0000,0.2000,-7.4000,0.0272,-0.0080,1.1088,225.1000,-154.7000,-197.1000,0.1154,0.2582,78.9324
9648,-2.4400,-2.2800,-7.7000,-0.0544,-0.0512,1.1064,225.2000,-155.6000,-197.2000,0.1154,0.2582,78.9269
9649,0.7800,-1.5000,-7.2600,0.0560,0.0104,1.0208,225.2000,-156.5000,-197.3000,0.1154,0.2582,78.9214
9650,2.2200,0.5200,-7.1200,0.0488,-0.0128,1.3344,225.2000,-156.5000,-197.3000,0.1154,0.2582,78.9159
9651,3.6400,0.1600,-7.4000,0.0080,0.0216,0.8984,225.2000,-156.5000,-197.3000,0.1209,0.2582,78.9104
9652,-0.0800,1.7000,-7.5200,-0.0016,-0.0048,0.8192,225.2000,-156.5000,-197.3000,0.1209,0.2582,78.9049
9653,-1.2000,-0.2600,-8.2400,-0.0024,-0.0336,0.8776,225.2000,-156.5000,-197.3000,0.1209,0.2582,78.8994
9654,-1.7600,-1.1400,-8.7000,-0.0168,-0.0024,0.9464,225.2000,-156.5000,-197.3000,0.1154,0.2582,78.8884
9655,-1.2400,-0.1600,-8.7400,-0.0080,0.0072,1.1904,225.2000,-156.5000,-197.3000,0.1154,0.2582,78.8829
9656,1.4400,0.1600,-8.4800,-0.0048,0.0120,1.1288,225.2000,-156.5000,-197.3000,0.1154,0.2582,78.8774
9657,1.6400,0.8600,-8.4400,-0.0160,0.0096,0.9624,225.2000,-156.5000,-197.3000,0.1209,0.2582,78.8664
9658,1.0600,0.0800,-8.5400,-0.0344,0.0024,0.8984,225.2000,-156.5000,-197.3000,0.1209,0.2582,78.8610
9659,0.2000,-0.9000,-8.7200,-0.0256,0.0096,0.8832,225.2000,-156.5000,-197.3000,0.1209,0.2582,78.8555
9660,-1.4600,-0.4000,-8.6000,-0.0104,0.0208,1.0024,225.2000,-156.1000,-197.3000,0.1154,0.2582,78.8500
9661,-1.7600,0.4600,-8.2800,-0.0080,0.0232,1.1208,225.1000,-155.8000,-197.3000,0.1154,0.2582,78.8390
9662,0.3400,0.6800,-7.7600,-0.0128,0.0232,1.0800,225.1000,-155.8000,-197.3000,0.1154,0.2582,78.8335
9663,2.0200,0.3200,-7.4400,-0.0032,0.0152,0.9912,225.1000,-155.8000,-197.3000,0.1209,0.2582,78.8280
9664,1.6200,-0.2800,-7.5000,0.0008,0.0192,0.9120,225.1000,-155.8000,-197.3000,0.1209,0.2582,78.8225
9665,-0.3200,-0.2000,-7.5600,0.0008,0.0288,0.9144,225.1000,-155.8000,-197.3000,0.1209,0.2582,78.8170
9666,-1.6200,0.0200,-7.3800,-0.0040,0.0424,1.0080,225.1000,-155.8000,-197.3000,0.1209,0.2582,78.8115
9667,-0.4600,-0.0200,-6.9800,-0.0064,0.0432,1.0544,225.1000,-155.8000,-197.3000,0.1154,0.2582,78.8060
9668,0.8600,-0.1400,-6.4600,0.0024,0.0392,1.0352,225.1000,-155.8000,-197.3000,0.1209,0.2582,78.8005
9669,0.9200,0.1800,-6.0400,0.0064,0.0248,0.9904,225.1000,-155.8000,-197.3000,0.1209,0.2582,78.7950
9670,0.3200,0.1400,-5.8800,0.0040,0.0160,0.9392,225.1000,-155.8000,-197.3000,0.1209,0.2582,78.7895
9671,-0.7200,0.2400,-5.7000,0.0008,0.0072,0.9632,225.1000,-155.8000,-197.3000,0.1209,0.2582,78.7840
9672,-0.6600,-0.1800,-5.4200,-0.0040,0.0056,1.0096,226.2000,-155.6000,-197.1000,0.1209,0.2582,78.7840
9673,0.2000,-0.2200,-5.2000,0.0056,0.0096,1.0256,226.2000,-155.6000,-197.1000,0.1209,0.2582,78.7786
